nombre,partido_id,logo_url
AHORA NACION - AN,2980,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2980
ALIANZA ELECTORAL VENCEREMOS,3025,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/3025
ALIANZA PARA EL PROGRESO,1257,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/1257
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,2173,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2173
FE EN EL PERU,2898,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2898
FRENTE POPULAR AGRICOLA FIA DEL PERU,2901,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2901
FUERZA POPULAR,1366,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/1366
FUERZA Y LIBERTAD,3024,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/3024
JUNTOS POR EL PERU,1264,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/1264
LIBERTAD POPULAR,2933,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2933
PARTIDO APRISTA PERUANO,2930,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2930
PARTIDO CIUDADANOS POR EL PERU,2968,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2968
PARTIDO CIVICO OBRAS,2941,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2941
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERU,2939,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2939
PARTIDO DEL BUEN GOBIERNO,2961,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2961
PARTIDO DEMOCRATA UNIDO PERU,2867,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2867
PARTIDO DEMOCRATA VERDE,2895,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2895
PARTIDO DEMOCRATICO FEDERAL,2986,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2986
PARTIDO DEMOCRATICO SOMOS PERU,14,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/14
PARTIDO FRENTE DE LA ESPERANZA 2021,2857,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2857
PARTIDO MORADO,2840,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2840
PARTIDO PAIS PARA TODOS,2956,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2956
PARTIDO PATRIOTICO DEL PERU,2869,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2869
PARTIDO POLITICO COOPERACION POPULAR,2995,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2995
PARTIDO POLITICO INTEGRIDAD DEMOCRATICA,2985,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2985
PARTIDO POLITICO NACIONAL PERU LIBRE,2218,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2218
PARTIDO POLITICO PERU ACCION,2932,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2932
PARTIDO POLITICO PERU PRIMERO,2925,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2925
PARTIDO POLITICO PRIN,2921,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2921
PARTIDO SICREO,2935,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2935
PERU MODERNO,2924,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2924
PODEMOS PERU,2731,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2731
"PRIMERO LA GENTE - COMUNIDAD, ECOLOGIA, LIBERTAD Y PROGRESO",2931,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2931
PROGRESEMOS,2967,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2967
RENOVACION POPULAR,22,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/22
SALVEMOS AL PERU,2927,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2927
UN CAMINO DIFERENTE,2998,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2998
UNIDAD NACIONAL,3023,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/3023
